file,authors,licenses,urls
"body/bodies/male","bluecarrot16; JaidynReiman; Benjamin K. Smith (BenCreating); Evert; Eliza Wyatt (ElizaWy); TheraHedwig; MuffinElZangano; Durrani; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle https://opengameart.org/content/lpc-revised-character-basics https://opengameart.org/content/lpc-be-seated https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-character-bases"
"body/bodies/female","Benjamin K. Smith (BenCreating); bluecarrot16; TheraHedwig; Evert; MuffinElZangano; Durrani; Pierre Vigier (pvigier); ElizaWy; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-ladies https://opengameart.org/content/lpc-7-womens-shirts https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-be-seated https://opengameart.org/content/lpc-revised-character-basics https://gitlab.com/vagabondgame/lpc-characters https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"body/bodies/muscular","bluecarrot16; JaidynReiman; Evert; TheraHedwig; MuffinElZangano; Durrani; Sander Frenken (castelonia); Benjamin K. Smith (BenCreating); Eliza Wyatt (ElizaWy); dalonedrau; Stephen Challener (Redshrike)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-barbarian-sprite-base https://opengameart.org/content/lpc-muscular-swing-animation https://opengameart.org/content/lpc-muscular-hurt-animation https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-revised-character-basics https://opengameart.org/content/lpc-be-seated https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-character-bases https://opengameart.org/content/lpc-male-jumping-animation-by-durrani"
"body/bodies/teen","bluecarrot16; Evert; TheraHedwig; Benjamin K. Smith (BenCreating); MuffinElZangano; Durrani; Pierre Vigier (pvigier); Eliza Wyatt (ElizaWy); Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-ladies https://opengameart.org/content/lpc-teen-unisex-base-clothes https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-revised-character-basics https://opengameart.org/content/lpc-be-seated https://gitlab.com/vagabondgame/lpc-characters https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-jump-expanded"
"body/bodies/pregnant","bluecarrot16; JaidynReiman; Evert; TheraHedwig; MuffinElZangano; Durrani; Benjamin K. Smith (BenCreating); Pierre Vigier (pvigier); Eliza Wyatt (ElizaWy); Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-ladies https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear https://opengameart.org/content/lpc-7-womens-shirts https://opengameart.org/content/lpc-jump-expanded https://gitlab.com/vagabondgame/lpc-characters https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"body/bodies/child","bluecarrot16; Benjamin K. Smith (BenCreating); ElizaWy; MuffinElZangano; Durrani; Nila122; kheftel; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-child-standing-template https://opengameart.org/content/lpc-children-walk-animation https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-male-jumping-animation-by-durrani https://opengameart.org/content/lpc-jump-expanded https://opengameart.org/content/lpc-jump-expanded"
"head/heads/human/male","bluecarrot16; Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-character-bases"
"head/heads/human/female","bluecarrot16; Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/ https://opengameart.org/content/lpc-character-bases"
"head/faces","JaidynReiman; ElizaWy; Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head https://opengameart.org/content/ulpc-expanded-expressions"
"head/faces/elderly/neutral","JaidynReiman; ElizaWy; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://github.com/ElizaWy/LPC/tree/main/Characters/Head https://opengameart.org/content/ulpc-expanded-expressions"
"head/faces/female/neutral","JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/ulpc-expanded-expressions"
"head/faces/male/neutral","JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/ulpc-expanded-expressions"
"hair/afro","bluecarrot16","CC0","https://opengameart.org/content/lpc-hair"
"hair/cornrows","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/dreadlocks_long","bluecarrot16","CC0","https://opengameart.org/content/lpc-hair"
"hair/dreadlocks_short","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/flat_top_fade","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/flat_top_straight","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/natural","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/twists_fade","bluecarrot16","CC0","https://opengameart.org/content/lpc-hair"
"hair/twists_straight","bluecarrot16","CC0","https://opengameart.org/content/lpc-hair"
"hair/balding","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/buzzcut","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/high_and_tight","Skorpio; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-skorpios-scifi-sprite-pack https://opengameart.org/content/lpc-hair"
"hair/longhawk","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/shorthawk","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/bob","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/bob_side_part","thecilekli; bluecarrot16; ElizaWy","CC0","https://opengameart.org/content/lpc-pink-short-hair https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/lob","bluecarrot16","CC0","https://opengameart.org/content/lpc-hair"
"hair/relm_short","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail"
"hair/bangs_bun","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/braid","Nila122; ElizaWy","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0; GPL 2.0","https://opengameart.org/content/3-hairs-for-lpc https://opengameart.org/content/lpc-hair"
"hair/braid2","Yamilian; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-heroine https://opengameart.org/content/lpc-hair"
"hair/half_up","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/high_ponytail","JaidynReiman; ElizaWy; bluecarrot16","OGA-BY 3.0","https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-hair"
"hair/long_tied","JaidynReiman; thecilekli; bluecarrot16","CC0","https://opengameart.org/content/lpc-long-tied-hair-with-12-colors https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-hair"
"hair/ponytail","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/ponytail2","JaidynReiman; Manuel Riecke (MrBeast); Joe White","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/ponytail-and-plain-hairstyles https://opengameart.org/content/lpc-expanded-hair"
"hair/relm_ponytail","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/relm_xlong","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/shoulderl","JaidynReiman; Lanea Zimmerman (Sharm); Manuel Riecke (MrBeast)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2 https://opengameart.org/content/lpc-expanded-hair"
"hair/shoulderr","JaidynReiman; Lanea Zimmerman (Sharm); Manuel Riecke (MrBeast)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2 https://opengameart.org/content/lpc-expanded-hair"
"hair/parted_side_bangs","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24"
"hair/extensions/ponytails/topknot_long","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
"hair/parted_side_bangs2","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24"
"hair/extensions/ponytails/topknot_short","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
"hair/curls_large","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0+","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/curls_large_xlong","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0+","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/curly_long","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/curly_short","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/curly_short2","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/jewfro","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24"
"hair/extensions/bangs/braidl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
"hair/extensions/bangs/braidr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
"hair/extensions/bangs/long_straightl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-long-hair"
"hair/extensions/bangs/long_straightr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-long-hair"
"hair/extensions/bangs/long_wavyl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-long-hair"
"hair/extensions/bangs/long_wavyr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-long-hair"
"hair/extensions/bangs/xlong_bangl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_bangr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_braidl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_braidr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_curlyl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_curlyr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_wavyl","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/bangs/xlong_wavyr","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/ponytails/relm_ponytail","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/extensions/ties/high_bun","JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/bangslong","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-hair"
"hair/bangslong2","JaidynReiman; Barbara Riviera; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/concept-art-for-lpc-entry https://opengameart.org/content/lpc-expanded-hair"
"hair/curtains_long","Mandi Paugh; bluecarrot16","GPL 2.0; GPL 3.0; CC-BY 3.0","https://opengameart.org/content/trevor-overland https://opengameart.org/content/lpc-hair"
"hair/long","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/long_center_part","thecilekli; bluecarrot16","CC0","https://opengameart.org/content/lpc-long-straight-hair-with-12-colors https://opengameart.org/content/lpc-hair"
"hair/long_messy","Mandi Paugh; bluecarrot16","GPL 2.0; GPL 3.0; CC-BY 3.0","https://opengameart.org/content/puck-overland https://opengameart.org/content/lpc-hair"
"hair/long_messy2","Yamilian; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-heroine-2 https://opengameart.org/content/lpc-hair"
"hair/long_straight","JaidynReiman; thecilekli; bluecarrot16","CC0","https://opengameart.org/content/lpc-long-straight-hair-with-12-colors https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-hair"
"hair/loose","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/wavy","JaidynReiman; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/3-hairs-for-lpc https://opengameart.org/content/lpc-expanded-hair"
"hair/bunches","JaidynReiman; Barbara Riviera; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/concept-art-for-lpc-entry https://opengameart.org/content/lpc-expanded-hair"
"hair/pigtails","Radomir Dopieralski; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/one-more-lpc-alternate-character https://opengameart.org/content/lpc-hair"
"hair/pigtails_bangs","Emilio J. Sanchez-Sierra; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/steampun-a-fy-with-concept-art https://opengameart.org/content/lpc-hair"
"hair/bangs","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/bangsshort","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-hair"
"hair/bedhead","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/cowlick","ElizaWy; bluecarrot16","CC0","https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/blob/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/cowlick_tall","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/curtains","Mandi Paugh; bluecarrot16","GPL 2.0; GPL 3.0; CC-BY 3.0","https://opengameart.org/content/star-overland https://opengameart.org/content/lpc-hair"
"hair/idol","thecilekli; bluecarrot16","CC0","https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors https://opengameart.org/content/lpc-hair https://github.com/ElizaWy/LPC/tree/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/messy1","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/messy2","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/messy3","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/mop","Radomir Dopieralski; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/alternate-lpc-character-sprites-george https://opengameart.org/content/lpc-hair"
"hair/page","Page; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-hair"
"hair/page2","JaidynReiman; ElizaWy; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://github.com/ElizaWy/LPC/tree/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/parted","JaidynReiman; Joe White; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24 https://opengameart.org/content/lpc-expanded-hair"
"hair/parted2","Skorpio; bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-skorpios-scifi-sprite-pack https://opengameart.org/content/lpc-hair"
"hair/parted3","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/pixie","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/plain","JaidynReiman; Manuel Riecke (MrBeast); Joe White","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/ponytail-and-plain-hairstyles https://opengameart.org/content/lpc-expanded-hair"
"hair/single","JaidynReiman; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/3-hairs-for-lpc https://opengameart.org/content/lpc-expanded-hair"
"hair/swoop","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/swoop_side","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24"
"hair/unkempt","JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/halfmessy","Nila122; bluecarrot16","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0; GPL 2.0","https://opengameart.org/content/more-lpc-clothes-and-hair https://opengameart.org/content/lpc-hair"
"hair/spiked","kcilds/Rocetti/Eredah","CC-BY 4.0","https://opengameart.org/content/eredah-rpg-character-base-48x64-ongoing https://opengameart.org/content/lpc-hair"
"hair/spiked2","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/spiked_beehive","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/spiked_liberty","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/spiked_liberty2","Cobra Hubbard (BlueVortexGames); bluecarrot16","CC-BY 3.0","https://opengameart.org/content/anime-lpc-hair https://opengameart.org/content/lpc-hair"
"hair/spiked_porcupine","Fabzy; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair https://opengameart.org/content/lpc-hair"
"hair/long_band","Mandi Paugh; bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/fantasy-rpg-npcs https://opengameart.org/content/lpc-hair"
"hair/princess","JaidynReiman; Lanea Zimmerman (Sharm)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair"
"hair/sara","Stephen Challener (Redshrike); William.Thompsonj; Mandi Paugh; bluecarrot16","OGA-BY 3.0; CC-BY 3.0","https://opengameart.org/content/lpc-sara https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/xlong","JaidynReiman; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-xlong-hair"
"hair/xlong_wavy","JaidynReiman; Nila122","OGA-BY 3.0","https://opengameart.org/content/lpc-expanded-xlong-hair"
"torso/clothes/longsleeve/longsleeve/male","JaidynReiman; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
