file,authors,licenses,urls
"torso/clothes/sleeveless/sleeveless1/female","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless1/teen","Nyom; bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2_buttoned","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2_cardigan","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2_polo","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2_scoop","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/sleeveless/sleeveless2_vneck","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeves/male","JaidynReiman; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeves/female","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/clothes/longsleeve/longsleeves/teen","bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-teen-unisex-base-clothes http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts"
"legs/hose/male","JaidynReiman; ElizaWy; bluecarrot16; JaidynReiman; ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-pants"
"legs/hose","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/leggings/male","bluecarrot16; ElizaWy; JaidynReiman; Mandi Paugh; William.Thompsonj; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-pants"
"legs/leggings","bluecarrot16; ElizaWy; JaidynReiman; Mandi Paugh; William.Thompsonj; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","http://opengameart.org/content/sara-wizard https://opengameart.org/content/lpc-sara https://opengameart.org/content/lpc-expanded-pants"
"legs/leggings2/male","bluecarrot16; ElizaWy; JaidynReiman; Mandi Paugh; William.Thompsonj; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-pants"
"legs/leggings2","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/cuffed/male","JaidynReiman; ElizaWy; Bluecarrot16; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/cuffed","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/formal","bluecarrot16; JaidynReiman; ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-2-characters https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-pants"
"legs/formal/thin","bluecarrot16; JaidynReiman; ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-2-characters https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-pants"
"legs/formal_striped","bluecarrot16; JaidynReiman; ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-2-characters https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-pants"
"legs/formal_striped/thin","bluecarrot16; JaidynReiman; ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-2-characters https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-pants"
"legs/fur","Bluecarrot16; JaidynReiman; Evert; ElizaWy; Nila122; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-faun-and-minotaur https://opengameart.org/content/lpc-expanded-pants"
"legs/fur/thin","Bluecarrot16; JaidynReiman; Evert; ElizaWy; Nila122; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-faun-and-minotaur https://opengameart.org/content/lpc-expanded-pants"
"legs/pantaloons","Nila122; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 2.0; GPL 3.0; CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates https://opengameart.org/content/more-lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-pants"
"legs/pantaloons/thin","Nila122; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-pirates https://opengameart.org/content/more-lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-pants"
"legs/pantaloons/muscular","Nila122; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
"legs/pants/male","bluecarrot16; JaidynReiman; ElizaWy; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0; CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-pants"
"legs/pants/thin","bluecarrot16; JaidynReiman; ElizaWy; Joe White; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0; CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-pants"
"legs/pants2/male","JaidynReiman; ElizaWy; Bluecarrot16; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/pants2","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/shorts/shorts/male","JaidynReiman; ElizaWy; Bluecarrot16; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-pants"
"legs/shorts/shorts","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/shorts/short_shorts/male","JaidynReiman; ElizaWy; Bluecarrot16; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-pants"
"legs/shorts/short_shorts","ElizaWy; JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-pants"
"legs/skirts/belle","bluecarrot16; Matthew Krohn (makrohn); Lanea Zimmerman (Sharm)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-dress-in-combat-poses http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/overskirt","bluecarrot16; Matthew Krohn (makrohn); Lanea Zimmerman (Sharm)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-dress-in-combat-poses http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/straight","bluecarrot16; ElizaWy","OGA-BY 3.0; GPL 3.0","http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/legion","bluecarrot16; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-roman-armor http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/plain","bluecarrot16; Pierre Vigier (pvigier); Johannes Sjölund (wulax); Ahmad3366; JaidynReiman","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"legs/skirts/slit","Nila122; ElizaWy; bluecarrot16","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair http://opengameart.org/content/lpc-clothing-updates"
"feet/shoes","JaidynReiman; bluecarrot16; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/basic/thin","JaidynReiman; Joe White; Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/ghillies","bluecarrot16; JaidynReiman; Thane Brimhall (pennomi); laetissima; Matthew Krohn (makrohn)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-2-characters http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/revised/male","JaidynReiman; ElizaWy; Bluecarrot16; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/revised","ElizaWy; JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/sara/thin","JaidynReiman; Bluecarrot16; Mandi Paugh; Stephen Challener (Redshrike); William.Thompsonj","OGA-BY 3.0; CC-BY 3.0+; GPL 2.0; GPL 3.0","http://opengameart.org/content/sara-wizard https://opengameart.org/content/lpc-sara https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/shoes/sara/male","JaidynReiman; Bluecarrot16; Mandi Paugh; Stephen Challener (Redshrike); William.Thompsonj","OGA-BY 3.0; CC-BY 3.0+; GPL 2.0; GPL 3.0","http://opengameart.org/content/sara-wizard https://opengameart.org/content/lpc-sara https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/basic","JaidynReiman; bluecarrot16; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/basic/thin","JaidynReiman; bluecarrot16; Nila122","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/fold","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-kimono-relm https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/revised/male","JaidynReiman; ElizaWy; Bluecarrot16; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0; GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/revised","ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/boots/rimmed","JaidynReiman","OGA-BY 3.0+; CC-BY 3.0+; GPL 3.0","https://opengameart.org/content/lpc-kimono-relm https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/sandals","Nila122; JaidynReiman; Matthew Krohn (makrohn); Johannes Sjölund (wulax)","OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0","https://opengameart.org/content/lpc-roman-armor http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes"
"feet/slippers","bluecarrot16; JaidynReiman; Joe White; Luke Mehl","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/thin-mage-clothing-set http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes"
"facial/glasses/glasses","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"facial/glasses/halfmoon","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"facial/glasses/nerd","JaidynReiman; Thane Brimhall (pennomi); laetissima","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"facial/glasses/round","bluecarrot16; Thane Brimhall (pennomi); laetissima","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/clothing-facial-features-and-ui-elements https://opengameart.org/content/lpc-gentleman"
"facial/glasses/secretary","JaidynReiman; Thane Brimhall (pennomi); laetissima","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"facial/glasses/shades","JaidynReiman; Thane Brimhall (pennomi); laetissima","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"facial/glasses/sunglasses","Michael Whitlock (bigbeargames); Thane Brimhall (pennomi); laetissima","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/formal/bowler","bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/formal/crown","DarkwallLKE; Charles Sanchez (CharlesGabriel)","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-crown https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/formal/tiara","Luke Mehl","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/female-mage-clothing-set https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/formal/tophat","bluecarrot16","CC-BY-SA 3.0; GPL 3.0","https://opengameart.org/content/lpc-gentleman https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"hat/pirate/bonnie","bluecarrot16; JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
